p_gen\t_coh,10,20,50,100,200,500
0.05,5.1526,5.5909,3.1128,1.3322,1.4532,0.5090
0.1,11.4994,6.9113,2.8040,1.2749,1.6414,0.1569
0.15,17.0772,10.1998,4.2140,2.2201,0.8633,0.4272
0.2,18.8703,9.9308,4.2777,1.3386,0.9629,-0.1802
0.3,23.3176,10.3961,3.5511,1.6263,0.4332,0.6276
0.5,29.9011,11.7631,1.9007,-0.1384,-0.9928,-0.3506
