p_gen,w0,t_coh,best_cutoff,skr_nocut,skr_fixed,skr_adaptive,imp_adaptive_vs_fixed_pct,mdp_converged,mdp_gain
0.05,1.0,10,2,0.001638086992481929,0.0038727138032558883,0.00407226034711689,5.1526282084991175,True,0.004079132965250394
0.05,1.0,20,3,0.0029607368002899604,0.006165234723646045,0.006509925876286342,5.590884501416847,True,0.0064375049456211215
0.05,1.0,50,7,0.006592112732589693,0.010709917015975717,0.011043292806314633,3.1127765961363454,True,0.011009461470203272
0.05,1.0,100,12,0.011083308506785756,0.01505441789741966,0.015254967552928461,1.3321647962434713,True,0.015222643173368059
0.05,1.0,200,21,0.01704905478058885,0.019333963898945518,0.019614927287643375,1.4532115098920875,True,0.019588479418169935
0.05,1.0,500,38,0.024043045612461768,0.024707591797982827,0.024833342666929874,0.5089563967837354,True,0.024846098250236218
0.1,1.0,10,1,0.006749119528992512,0.012983854923577422,0.014476926364720534,11.499446427361407,True,0.014454126142557998
0.1,1.0,20,3,0.011607606491970027,0.019307931648054933,0.02064235195462603,6.911254560534588,True,0.020700384029058265
0.1,1.0,50,6,0.023017461627023422,0.030533227665200342,0.031389383016396516,2.8040119458839925,True,0.031426064536500015
0.1,1.0,100,10,0.03504858048537493,0.039460955111649036,0.03996405979101263,1.2749429858961316,True,0.04009996358118014
0.1,1.0,200,16,0.04599190008150767,0.04757460312688754,0.04835548219605067,1.641377999686977,True,0.0481723240110771
0.1,1.0,500,40,0.0563537578370508,0.056609096858722674,0.056697906675265426,0.15688258861361418,True,0.05677146862863289
0.15,1.0,10,1,0.015138150128329461,0.025587068768810388,0.029956627432587896,17.077214679251675,True,0.02987547376611946
0.15,1.0,20,3,0.02516239011046045,0.03662678061373972,0.040362629643439056,10.19977450133281,True,0.0399917405082314
0.15,1.0,50,5,0.04640962893074612,0.05403059552492184,0.05630745966192557,4.214027468850516,True,0.05645061157036094
0.15,1.0,100,9,0.06416476663764224,0.06747940856288746,0.06897754790231593,2.2201429611409167,True,0.06889843816033636
0.15,1.0,200,14,0.07831642326656918,0.07934251866028057,0.08002751929730474,0.8633462216609602,True,0.07982293259702952
0.15,1.0,500,38,0.09046077820096651,0.09053463457193703,0.0909213659872715,0.42716405402529933,True,0.09059904444760719
0.2,1.0,10,1,0.027052812266724274,0.04138656718538142,0.04919632305760952,18.870267343619332,True,0.04930873523843026
0.2,1.0,20,2,0.043724034645469464,0.05763138961327544,0.06335462173652727,9.930755030646484,True,0.0631850634666259
0.2,1.0,50,5,0.07368423461740418,0.08140856283655142,0.08489097920041587,4.2777027901306885,True,0.08474776603816764
0.2,1.0,100,8,0.09644843969746565,0.09847715653697688,0.09979532343783645,1.3385509362921366,True,0.100328094759319
0.2,1.0,200,18,0.11218010562198974,0.112283281556832,0.11336451254645367,0.9629492250584212,True,0.11346305609714655
0.2,1.0,500,45,0.12563162411359974,0.12544974024790842,0.1252236774142787,-0.18020191447426212,True,0.12569160553309233
0.3,1.0,10,1,0.06234566192205664,0.07954781189125232,0.09809648032501185,23.31763500813438,True,0.09816273002809701
0.3,1.0,20,2,0.09187990669579303,0.10698035980539801,0.11810209568851947,10.396053914337534,True,0.11815816651953012
0.3,1.0,50,5,0.13858436335032662,0.14382703244323702,0.1489344131890833,3.551057585688528,True,0.14899423931359607
0.3,1.0,100,7,0.16750031572042573,0.16666008015042966,0.16937053511808506,1.6263372519735426,True,0.1693036338993416
0.3,1.0,200,13,0.18581486855275026,0.18530834632332488,0.18611112702255764,0.4332134602464538,True,0.1854736833737258
0.3,1.0,500,20,0.19915845592812692,0.19846695824689684,0.1997125549856355,0.6276091243304701,True,0.19926877374757657
0.5,1.0,10,1,0.1800202389234,0.19170070561903046,0.24902134610978854,29.901110851762958,True,0.25
0.5,1.0,20,2,0.23457926646910462,0.24213105364131227,0.270613286134189,11.763147297524961,True,0.26955634984434934
0.5,1.0,50,6,0.29781849799356025,0.29843454129735864,0.30410700827187404,1.900740762063257,True,0.3062917096593611
0.5,1.0,100,10,0.326046989841077,0.3303762637190792,0.3299190671044692,-0.13838664117792795,True,0.3304310932206723
0.5,1.0,200,16,0.3487202961715906,0.3501028067730469,0.3466270304083739,-0.9927873462968726,True,0.3484060944093267
0.5,1.0,500,14,0.3615690155004001,0.36341633897890374,0.3621423128695073,-0.3505692982808836,True,0.3624218465565866
