label,p_gen,w0,t_coh,best_cutoff,mdp_t_max,skr_nocut,skr_nocut_ci,skr_fixed,skr_fixed_ci,skr_adaptive,skr_adaptive_ci,imp_fixed_vs_nocut_pct,imp_adaptive_vs_nocut_pct,imp_adaptive_vs_fixed_pct,ET_nocut,ET_fixed,ET_adaptive,EW_nocut,EW_fixed,EW_adaptive,mdp_gain,mdp_converged,mdp_n_iter
"A: Fast gen, short memory",0.3,1.0,20.0,2,10,0.09215351927296567,0.0007738308568592243,0.10660181129822124,0.0006558995897990486,0.1182139562380398,0.0006751779808462009,15.678502719422626,28.279372476140775,10.893009038404886,4.71032,6.092,6.57969,0.7859658600845327,0.9036738871688431,0.9447447984083996,0.11815816651953012,True,17
"B: Moderate gen, moderate memory",0.1,1.0,50.0,6,11,0.023058213751980097,0.0002153956818762572,0.03049659036615989,0.00018928885458105205,0.03135631690423815,0.0001926887482103359,32.25911900283703,35.987623505942494,2.8190906844203933,14.75259,20.06591,19.57796,0.725545533413924,0.8939425406681047,0.8945013282284472,0.031426064536500015,True,57
"C: Slow gen, long memory",0.05,1.0,200.0,19,24,0.01698976831529543,0.000131012162244302,0.019439638574069083,0.00011476717899868048,0.019537957360891447,0.00011558577716592439,14.419680205810101,14.998374305681084,0.505764479353611,29.74624,35.72944,35.02806,0.8370036083373911,0.9235093858713853,0.9200220623116578,0.01958848006881695,True,160
D: Imperfect source (w0=0.95),0.1,0.95,100.0,9,14,0.020994091619132203,0.00016552299562085692,0.024566345359156493,0.0001448389100679523,0.025011632348226086,0.00014571337525961533,17.015519436758318,19.13653041998084,1.8125894696975084,14.75259,17.7792,17.48292,0.7588702777725916,0.834954145234503,0.835144830585718,0.02501153159476309,True,79
E: Short memory stress test,0.1,1.0,20.0,3,10,0.011527059083703767,0.00014849662369462147,0.01946625687763972,0.00013165273663873843,0.020769602622278262,0.0001394961668808801,68.87444348368,80.18128016400144,6.695410179938883,14.75259,26.57097,25.26021,0.514615260375101,0.8545640955500561,0.856741869571376,0.020700384029058265,True,28
F: Near-ideal reference,0.3,1.0,500.0,22,27,0.19905326063048742,0.0008932501025408179,0.19927071689989329,0.0008932212548033781,0.1988695287890807,0.0008868984651731334,0.1092452686869262,-0.09230285443441455,-0.20132818160840016,4.71032,4.70582,4.71582,0.989113604427712,0.9891497124491154,0.9891766321421059,0.19926877374757657,True,46
