label,cutoff_n,skr
BoxiLi-base,1,0.008661936555113102
BoxiLi-base,2,0.012248103247797045
BoxiLi-base,3,0.014867554314782065
BoxiLi-base,4,0.01672080210910184
BoxiLi-base,5,0.018192303102612557
BoxiLi-base,6,0.019360287256140703
BoxiLi-base,7,0.020262348725734715
BoxiLi-base,8,0.020981139951887374
BoxiLi-base,9,0.02158810377170225
BoxiLi-base,10,0.02211678659303182
BoxiLi-base,11,0.022527089649283398
BoxiLi-base,12,0.02281363592673568
BoxiLi-base,13,0.02309231098475555
BoxiLi-base,14,0.023352682998205348
BoxiLi-base,15,0.02356219330192247
BoxiLi-base,16,0.023714096821775974
BoxiLi-base,17,0.023875770028214463
BoxiLi-base,18,0.023981385972557622
BoxiLi-base,19,0.024069217563910335
BoxiLi-base,20,0.024187071525166012
BoxiLi-base,21,0.02424915323356514
BoxiLi-base,22,0.02430959104891214
BoxiLi-base,23,0.024352998629562556
BoxiLi-base,24,0.02437465367879544
BoxiLi-base,25,0.024384452194365216
BoxiLi-base,26,0.024420771553523842
BoxiLi-base,27,0.02443044333496713
BoxiLi-base,28,0.02445735967056635
BoxiLi-base,29,0.02448073341755184
BoxiLi-base,30,0.024496722403312764
BoxiLi-base,31,0.02452058288517835
BoxiLi-base,32,0.024527483480418156
BoxiLi-base,33,0.024557992004977835
BoxiLi-base,34,0.024581515687135316
BoxiLi-base,35,0.024595072969501357
BoxiLi-base,36,0.024606946958363542
BoxiLi-base,37,0.024590542172293665
BoxiLi-base,38,0.024572254378499362
BoxiLi-base,39,0.02457292130090485
BoxiLi-base,40,0.02459019479099799
BoxiLi-base,41,0.024589034301284143
BoxiLi-base,42,0.024594406608799215
BoxiLi-base,43,0.02458808228195513
BoxiLi-base,44,0.0245756612977992
BoxiLi-base,45,0.024575876880223727
BoxiLi-base,46,0.024571952953608506
BoxiLi-base,47,0.024568195811408594
BoxiLi-base,48,0.02456606619501798
BoxiLi-base,49,0.024567353507204064
BoxiLi-base,50,0.02457892454226163
BoxiLi-base,51,0.024573446198025917
BoxiLi-base,52,0.02456717822046403
BoxiLi-base,53,0.02456159887698234
BoxiLi-base,54,0.02456090366827012
BoxiLi-base,55,0.02456184214728131
BoxiLi-base,56,0.024566455278487567
BoxiLi-base,57,0.024569042805671275
BoxiLi-base,58,0.02457215494465457
BoxiLi-base,59,0.024581110570162715
BoxiLi-base,60,0.024582048752649834
BoxiLi-base,61,0.024581833823880475
BoxiLi-base,62,0.02458338946440128
BoxiLi-base,63,0.024581127407115662
BoxiLi-base,64,0.0245824258141176
BoxiLi-base,65,0.02457468853271245
BoxiLi-base,66,0.024580314721609015
BoxiLi-base,67,0.02457708523298999
BoxiLi-base,68,0.02457519629978062
BoxiLi-base,69,0.02457498763123242
BoxiLi-base,70,0.024572438631724407
BoxiLi-base,71,0.024575665618140907
BoxiLi-base,72,0.0245746591470712
BoxiLi-base,73,0.02457507937117134
BoxiLi-base,74,0.024574112561761487
BoxiLi-base,75,0.0245731884736541
BoxiLi-base,76,0.02457394410887086
BoxiLi-base,77,0.024574248161455977
BoxiLi-base,78,0.02457433380723311
BoxiLi-base,79,0.024574194558804743
BoxiLi-base,80,0.024574374479222377
BoxiLi-base,81,0.024571342698766666
BoxiLi-base,82,0.024571136935182567
BoxiLi-base,83,0.024571031622122614
BoxiLi-base,84,0.02457213096996261
BoxiLi-base,85,0.024570573439650877
BoxiLi-base,86,0.02457038842746749
BoxiLi-base,87,0.024571769616858283
BoxiLi-base,88,0.024571956394810874
BoxiLi-base,89,0.02457189760419218
BoxiLi-base,90,0.024571773956417776
BoxiLi-base,91,0.024571806927852474
BoxiLi-base,92,0.02457153945201075
BoxiLi-base,93,0.024571544956058018
BoxiLi-base,94,0.024571456491272993
BoxiLi-base,95,0.024572477289770148
BoxiLi-base,96,0.02457243030097337
BoxiLi-base,97,0.02457243580533193
BoxiLi-base,98,0.024572388816684516
BoxiLi-base,99,0.024573597052807445
BoxiLi-base,100,0.024573576308680033
BoxiLi-base,101,0.024573576308680033
BoxiLi-base,102,0.024573555564587644
BoxiLi-base,103,0.024573555564587644
BoxiLi-base,104,0.024573534820530277
BoxiLi-base,105,0.024573534820530277
BoxiLi-base,106,0.024573514076507933
BoxiLi-base,107,0.024573514076507933
BoxiLi-base,108,0.024573493332520614
BoxiLi-base,109,0.024573493332520614
BoxiLi-base,110,0.024573472588568315
BoxiLi-base,111,0.024573472588568315
BoxiLi-base,112,0.024573451844651036
BoxiLi-base,113,0.024573451844651036
BoxiLi-base,114,0.024573431100768782
BoxiLi-base,115,0.024573431100768782
BoxiLi-base,116,0.024573410356921555
BoxiLi-base,117,0.024570757208795133
BoxiLi-base,118,0.024570757208795133
BoxiLi-base,119,0.024570757208795133
BoxiLi-base,120,0.024570757208795133
BoxiLi-base,121,0.024570757208795133
BoxiLi-base,122,0.024570757208795133
BoxiLi-base,123,0.024570757208795133
BoxiLi-base,124,0.024570757208795133
BoxiLi-base,125,0.024570757208795133
BoxiLi-base,126,0.024570757208795133
BoxiLi-base,127,0.024570757208795133
BoxiLi-base,128,0.024570757208795133
BoxiLi-base,129,0.024570757208795133
BoxiLi-base,130,0.024570757208795133
BoxiLi-base,131,0.024570757208795133
BoxiLi-base,132,0.024570757208795133
BoxiLi-base,133,0.024570757208795133
BoxiLi-base,134,0.024570757208795133
BoxiLi-base,135,0.024570757208795133
BoxiLi-base,136,0.024570757208795133
BoxiLi-base,137,0.024570757208795133
BoxiLi-base,138,0.024570757208795133
BoxiLi-base,139,0.024570757208795133
BoxiLi-base,140,0.024570757208795133
BoxiLi-base,141,0.024570757208795133
BoxiLi-base,142,0.024570757208795133
BoxiLi-base,143,0.024570757208795133
BoxiLi-base,144,0.024570757208795133
BoxiLi-base,145,0.024570757208795133
BoxiLi-base,146,0.024570757208795133
BoxiLi-base,147,0.024570757208795133
BoxiLi-base,148,0.024570757208795133
BoxiLi-base,149,0.024570757208795133
BoxiLi-base,150,0.024570757208795133
short-memory,1,0.008223205194707707
short-memory,2,0.01120240601176582
short-memory,3,0.01315187934479559
short-memory,4,0.01434372830824643
short-memory,5,0.015165689287391862
short-memory,6,0.015701899954604165
short-memory,7,0.016007777071462878
short-memory,8,0.01618456363050446
short-memory,9,0.016297047356446347
short-memory,10,0.01633690502849443
short-memory,11,0.016300516904304205
short-memory,12,0.01620055288997357
short-memory,13,0.016126430658497556
short-memory,14,0.01605180525565499
short-memory,15,0.015949146250856305
short-memory,16,0.015810361132896866
short-memory,17,0.015697038840317444
short-memory,18,0.015572377729471327
short-memory,19,0.01546175403649665
short-memory,20,0.015366788903074526
short-memory,21,0.015254065991955579
short-memory,22,0.015177842600106592
short-memory,23,0.015091212785187252
short-memory,24,0.01500867278034496
short-memory,25,0.014920944856088513
short-memory,26,0.014854915177415424
short-memory,27,0.014775181359969098
short-memory,28,0.014723718510762002
short-memory,29,0.014670921210629205
short-memory,30,0.014629474531472463
short-memory,31,0.01458658143288697
short-memory,32,0.014560895236216193
short-memory,33,0.014536591812206184
short-memory,34,0.014521823277466062
short-memory,35,0.014500592942399632
short-memory,36,0.014483940001834172
short-memory,37,0.014440336559276274
short-memory,38,0.014399706130606472
short-memory,39,0.014379198355984455
short-memory,40,0.014383137958720423
short-memory,41,0.014366780193909086
short-memory,42,0.014359990639296941
short-memory,43,0.014345437934077668
short-memory,44,0.014328657281584499
short-memory,45,0.014317664549486733
short-memory,46,0.01430446105447869
short-memory,47,0.014294563433215625
short-memory,48,0.014290273354294968
short-memory,49,0.014287138920503343
short-memory,50,0.014288962014910209
short-memory,51,0.01427839578003186
short-memory,52,0.01426913990801355
short-memory,53,0.014263968742229648
short-memory,54,0.01425773197528725
short-memory,55,0.014256605383085142
short-memory,56,0.014260112097694599
short-memory,57,0.014257359028547018
short-memory,58,0.014258337131844996
short-memory,59,0.014259942624899864
short-memory,60,0.01426133331490004
short-memory,61,0.014260103607056936
short-memory,62,0.014261760104291919
short-memory,63,0.014259116193111205
short-memory,64,0.014259351920737285
short-memory,65,0.014254561133694024
short-memory,66,0.014257265590986749
short-memory,67,0.014251749052111826
short-memory,68,0.014251872340761609
short-memory,69,0.014249357440887966
short-memory,70,0.014247933717578706
short-memory,71,0.014248688985936933
short-memory,72,0.014248351157597636
short-memory,73,0.01424733297283221
short-memory,74,0.014247455025993427
short-memory,75,0.014247419308431918
short-memory,76,0.014247966574704386
short-memory,77,0.014248959493508932
short-memory,78,0.014249293911419898
short-memory,79,0.014249223723188237
short-memory,80,0.01424861373499631
short-memory,81,0.01424597269978491
short-memory,82,0.014245886261577478
short-memory,83,0.014245792343772906
short-memory,84,0.014246519850726148
short-memory,85,0.014245727409352364
short-memory,86,0.014245652999619189
short-memory,87,0.014246873364621935
short-memory,88,0.014245483129155688
short-memory,89,0.014245227791816074
short-memory,90,0.014245176484882384
short-memory,91,0.014245052947364445
short-memory,92,0.014244945328923845
short-memory,93,0.014244945328923845
short-memory,94,0.014244897233802407
short-memory,95,0.01424495545807493
short-memory,96,0.014244931409055875
short-memory,97,0.014244931409055875
short-memory,98,0.014244907360118018
short-memory,99,0.0142468729601291
short-memory,100,0.014246860933442603
short-memory,101,0.014246860933442603
short-memory,102,0.014246848906776409
short-memory,103,0.014246848906776409
short-memory,104,0.01424683688013052
short-memory,105,0.01424683688013052
short-memory,106,0.014246824853504933
short-memory,107,0.014246824853504933
short-memory,108,0.014246812826899656
short-memory,109,0.014246812826899656
short-memory,110,0.014246800800314681
short-memory,111,0.014246800800314681
short-memory,112,0.01424678877375001
short-memory,113,0.01424678877375001
short-memory,114,0.014246776747205644
short-memory,115,0.014246776747205644
short-memory,116,0.014246764720681586
short-memory,117,0.014244670374472499
short-memory,118,0.014244670374472499
short-memory,119,0.014244670374472499
short-memory,120,0.014244670374472499
short-memory,121,0.014244670374472499
short-memory,122,0.014244670374472499
short-memory,123,0.014244670374472499
short-memory,124,0.014244670374472499
short-memory,125,0.014244670374472499
short-memory,126,0.014244670374472499
short-memory,127,0.014244670374472499
short-memory,128,0.014244670374472499
short-memory,129,0.014244670374472499
short-memory,130,0.014244670374472499
short-memory,131,0.014244670374472499
short-memory,132,0.014244670374472499
short-memory,133,0.014244670374472499
short-memory,134,0.014244670374472499
short-memory,135,0.014244670374472499
short-memory,136,0.014244670374472499
short-memory,137,0.014244670374472499
short-memory,138,0.014244670374472499
short-memory,139,0.014244670374472499
short-memory,140,0.014244670374472499
short-memory,141,0.014244670374472499
short-memory,142,0.014244670374472499
short-memory,143,0.014244670374472499
short-memory,144,0.014244670374472499
short-memory,145,0.014244670374472499
short-memory,146,0.014244670374472499
short-memory,147,0.014244670374472499
short-memory,148,0.014244670374472499
short-memory,149,0.014244670374472499
short-memory,150,0.014244670374472499
fast-gen,1,0.05157311770532886
fast-gen,2,0.0643127629530667
fast-gen,3,0.0703108495833309
fast-gen,4,0.07402659291440204
fast-gen,5,0.07626859892453344
fast-gen,6,0.07757121510856588
fast-gen,7,0.07835759674876147
fast-gen,8,0.07908740579042975
fast-gen,9,0.07937625915501255
fast-gen,10,0.07952614153681883
fast-gen,11,0.07969319111092163
fast-gen,12,0.07982745178490881
fast-gen,13,0.0799167552253775
fast-gen,14,0.07997007325010684
fast-gen,15,0.08000093392251871
fast-gen,16,0.08001513927353117
fast-gen,17,0.07999787735051882
fast-gen,18,0.08001311233021217
fast-gen,19,0.08004241333481538
fast-gen,20,0.0800636512721425
fast-gen,21,0.08006762582889762
fast-gen,22,0.08006993148872361
fast-gen,23,0.08006543923832411
fast-gen,24,0.08006048879889717
fast-gen,25,0.08006730978666238
fast-gen,26,0.0800648853933808
fast-gen,27,0.08006790109452101
fast-gen,28,0.08006854589498372
fast-gen,29,0.08006859448199713
fast-gen,30,0.08006791183599891
fast-gen,31,0.08006739736359325
fast-gen,32,0.08006692608450224
fast-gen,33,0.0800669746703614
fast-gen,34,0.08006650339598984
fast-gen,35,0.08006767441394687
