label,p_gen,p_swap,w0,t_coh,best_fixed_n,mdp_t_max,mdp_gain,mdp_converged,mdp_n_iter,skr_no,skr_fixed,skr_adapt,ci_no,ci_fixed,ci_adapt,imp_fixed_vs_no_pct,imp_adapt_vs_fixed_pct,imp_adapt_vs_no_pct,mean_t_no,mean_t_fixed,mean_t_adapt,mean_w_no,mean_w_fixed,mean_w_adapt,mean_f_no,mean_f_fixed,mean_f_adapt,skr_boxili_no,skr_boxili_fixed,distance_km,eta,plob_bound,fixed_over_plob,adapt_over_plob
BoxiLi-base,0.1,0.5,0.98,400.0,36,120,0.023141348704666158,True,131,0.02470038043023224,0.024688920782917,0.02478414597833161,0.0001273775787587566,0.00012747262638863798,0.0001268030254947359,-0.046394618688592584,0.3857001132285139,0.33912655044310747,29.467008333333332,29.688075,29.504308333333334,0.9382309127198896,0.9399593396765883,0.9393949165394492,0.9536731845399173,0.9549695047574412,0.9545461874045871,0.024740173703153703,0.02484566252552772,130.6425027550687,0.0024386526444139627,0.0035225289366463994,7.008862447109356,7.035895637503888
short-memory,0.1,0.5,0.98,50.0,10,120,0.015728174400939505,True,81,0.014310242492289375,0.01631883981174913,0.01665680767393499,9.695149760093673e-05,9.176445112614089e-05,9.234603335947142e-05,14.036081642516024,2.0710287378550714,16.397801664856402,29.467008333333332,34.70580833333333,34.895825,0.8077528954520912,0.8828797966029902,0.8886700662116097,0.8558146715890683,0.9121598474522429,0.9165025496587074,0.012559410417426345,0.016052612479488835,130.6425027550687,0.0024386526444139627,0.0035225289366463994,4.632705679711286,4.728650345678351
fast-gen,0.3,0.5,0.98,200.0,22,120,0.06646044826551453,True,44,0.0806595591797562,0.08074534586901304,0.08065921133505018,0.00039763987815049555,0.00039799769747890843,0.0003970048059200168,0.10635650644414521,-0.10667430182612762,-0.00043125044267836114,9.402783333333334,9.392491666666666,9.40925,0.9474445485294418,0.9474421777924168,0.9476224316186619,0.9605834113970814,0.9605816333443127,0.9607168237139966,0.08052863961241118,0.08024922823221584,35.21825181113625,0.19753086419753083,0.3174821898561702,0.2543303166252989,0.2540590115357067
slow-gen,0.05,0.5,0.98,400.0,64,120,0.010848524260398909,True,238,0.011077235363204202,0.01115922924282496,0.011187975421708166,6.025283467092071e-05,5.9703669674559954e-05,5.9474689691911214e-05,0.7402016562103595,0.2576000390142482,0.9997084549797897,59.658425,60.3791,61.04165,0.9158641435145503,0.9209175933602789,0.9241756895442352,0.9368981076359127,0.9406881950202093,0.9431317671581766,0.011013723999558354,0.011169420510909382,190.84850188786496,0.00015241579027587258,0.00021990626380347485,50.745390557850165,50.87611070372512
imperfect-src,0.1,0.5,0.95,400.0,36,120,0.01756639042731602,True,128,0.018746180957187168,0.01874233465243329,0.01881460161969287,9.673211014232375e-05,9.67771033363093e-05,9.62581114765138e-05,-0.020517804467272343,0.3855814582320301,0.36498454091509563,29.467008333333332,29.688075,29.516458333333333,0.8816674289147234,0.883291653538235,0.8828659468801738,0.9112505716860425,0.9124687401536762,0.9121494601601304,0.01880683154582738,0.01888555162846872,130.6425027550687,0.0024386526444139627,0.0035225289366463994,5.320704241049275,5.341219890050127
